COPE_Number,1_COPE,2_COPE,3_COPE,4_COPE,5_COPE,6_COPE,7_COPE,8_COPE,9_COPE
1,1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,1,0,0,0
7,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,1
10,0.25,0,0.25,0,0.25,0,0.25,0,0
11,0,0.25,0,0.25,0,0.25,0,0.25,0
12,0.5,0.5,0,0,0,0,0,0,0
13,0,0,0.25,0.25,0,0,0.25,0.25,0
14,-0.25,0.25,-0.25,0.25,-0.25,0.25,-0.25,0.25,0
15,-0.5,-0.5,0.16667,0.16667,0.16667,0.16667,0.16667,0.16667,0
16,0,0,0.25,0.25,-0.5,-0.5,0.25,0.25,0
17,0,0,0.5,0.5,-0.5,-0.5,0,0,0
18,0,0,0,0,-0.5,-0.5,0.5,0.5,0
